city,count,latitude,longitude
Rashidiyah,20,33.542351000000004,44.365334000000004
Saydabad district,20,34.007712,68.714007
Qarah Tapah,20,34.430836,44.934090000000005
Nyala,20,12.057186,24.878695
Shahjoy district,20,32.503878,67.40835899999999
Anantnag,20,33.732215999999994,75.157913
Siniyah,20,34.933361,43.412552000000005
Cizre,20,37.331265,42.184007
Sungai Kolok,20,6.013915,101.950233
Gao,19,16.276477,-0.039152
Samarra district,19,34.19246,43.88619
Sibi,19,29.548278999999997,67.879189
Qaysar district,19,35.69206,64.295739
Zamboanga City,19,6.929089,122.07885
Hyderabad,19,25.389288,68.357338
Timbuktu,19,16.772576,-3.006577
Santiago,19,-33.366238,-70.505302
Sufiyah,19,33.447155,43.340736
Qamishli,19,37.05336,41.227345
Balad district,18,34.044694,44.182677000000005
Cizre district,18,37.331264000000004,42.181782
Orakzai district,18,33.697271,71.144852
Beled Hawo,18,3.926858,41.877171000000004
Popasna,18,48.635265000000004,38.380325
Manila,18,14.599352,120.98477199999999
Awamiyah,18,26.587351,49.984146
Daquq district,18,35.084302,44.323966999999996
Farah,18,32.37001,62.12845600000001
Bannu district,18,32.920836,70.62304300000001
Bala Buluk district,18,32.693709999999996,62.719359
Shahidi Hassas district,18,32.926517,65.570829
Bannang Sata district,18,6.266667,101.264444
Gereshk,18,31.825871000000003,64.576431
Gwadar,18,25.1458,62.326556999999994
Alon Shvut,18,31.654064,35.125057
Kobani,18,36.886497,38.350204
Pasni,18,25.289404,63.343357999999995
Mombasa,18,-4.0411790000000005,39.677611999999996
Hawijah,18,35.326122,43.780811
Jaarah,17,33.170231,44.558002
Ramadi district,17,33.428863,43.305531
Sohbatpur,17,28.518663,68.542679
Khalis,17,33.848618,44.522125
Misrata,17,32.354923,15.105525
Tagab district,17,34.855582,69.64936800000001
Jolo,17,6.050458,121.012245
Mohmand district,17,34.565494,71.477429
Shirin Tagab district,17,36.238384,64.864419
Sabha,17,27.022866999999998,14.441218
Badaber,17,33.91758,71.562035
Beersheba,17,31.248484,34.787853000000005
Lamitan,17,6.660500999999999,122.13899199999999
Nijrab district,17,35.017087,69.630778
Tak Bai district,17,6.248334,102.002849
Tawilah,17,13.513827,24.869076
Khogyani district,17,34.226944,70.14666700000001
